o,observation61,observation62,observation63,observation64,observation65,observation66,observation67,observation68,observation69,observation70,observation71,observation72,observation73,observation74,observation75,observation76,observation77,observation78
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,4
0,0,0,0,0,0,0,16,16,16,32,32,32,32,48,48,48,64,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,66,66,66,66,66,98,98,98,98,75,145,98,98,21,98,98,98,98
240,240,240,240,240,240,250,250,250,250,246,250,250,250,251,250,250,250,250
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
